"filename", "language", "Properties", "JSON with Comments", "Makefile", "Docker", "YAML", "Shell Script", "JavaScript", "CSS", "JSON", "Markdown", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\company\addfromexcel\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 8, 69
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\company\getcompany\[year]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 6, 29
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\company\putcompany\[...companyId]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 3, 16, 83
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\pricelist\addpricelistfromexcel\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 7, 67
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\pricelist\getpricelist\[...yeargradegender]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 9, 49
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\pricelist\putpricelist\[...pricelistid]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 3, 16, 82
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\regcompany\addtoregion\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\regcompany\getall\[year]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\regcompany\getregbycompanyid\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\region\addfromexcel\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\region\getregion\[...id]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\region\putregion\[regionId]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 3, 13, 75
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\unit\addfromexcel\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 7, 77
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\unit\getunit\[...page]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 6, 29
"d:\FrontHooks\Next-SabzLearn\anjoman\src\app\api\manager\unit\putunit\[unitId]\route.js", "JavaScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 2, 16, 84
